DATE,OPEN,MAX,MIN,CLOSE,CLASS,2,42,45,48,68,75,88,139,171,172,179,187,218,221,223,231,237,date.year,date.month,date.day-of-month,date.day-of-week
3/26/07,143.5,143.65,142.09,143.2,1,2.87,0.19,1.6351,1.3908,0.97,14.54,1.72,0.95,-0.08,I,1.4,14.64,91.8447,23.43,3.3864,45418933114,4.7209,7,3,26,1
3/27/07,143.12,143.16,142.39,142.86,1,2.84,0.19,1.5526,1.3792,0.95,15.58,5.17,0.9,-0.07,I,0.98,14.64,90.701,23.49,0.762,44525544754,1.6001,7,3,27,2
3/28/07,142.14,142.47,141.26,141.82,1,2.81,0.19,1.5573,1.3709,0.99,14.55,0.91,1.0,-0.07,I,1.05,14.64,87.4706,22.92,-1.0962,43405039417,-1.4107,7,3,28,3
3/29/07,142.54,142.61,141.19,141.97,1,2.78,0.19,1.5436,1.3661,0.99,14.4,0.28,1.01,-0.06,I,1.05,14.64,87.0782,22.75,-0.0015,43920769402,-0.2309,7,3,29,4
3/30/07,142.24,142.84,140.56,142.0,1,2.75,0.19,1.6172,1.3641,0.97,14.33,0.84,1.0,-0.06,I,0.97,14.64,87.643,22.75,0.2221,43709223713,-0.8835,7,3,30,5
4/2/07,142.16,142.46,141.48,142.16,1,2.72,0.19,1.5535,1.3646,0.97,14.42,0.07,1.02,-0.06,I,0.86,14.64,90.1012,23.1,1.1271,44291222998,0.3938,7,4,2,1
4/3/07,142.97,143.98,142.91,143.69,1,2.69,0.19,1.5802,1.3665,0.95,14.32,0.57,1.0,-0.05,I,0.94,14.64,92.5759,24.01,2.9272,45533938174,2.9065,7,4,3,2
4/4/07,143.69,143.95,143.16,143.85,1,2.66,0.19,1.5011,1.3697,0.93,14.62,0.14,0.97,-0.05,I,0.62,14.64,94.4319,24.95,2.6467,45746026622,2.7956,7,4,4,3
4/5/07,143.67,144.44,143.61,144.24,1,2.64,0.19,1.434,1.374,0.94,14.65,0.14,0.96,-0.05,I,0.63,14.64,95.8239,26.09,3.0238,46323962129,3.7708,7,4,5,4
4/9/07,144.65,144.8,144.15,144.44,1,2.61,0.19,1.3556,1.3803,0.94,14.57,0.49,0.96,-0.05,I,0.63,14.64,96.7169,27.1,2.153,46553651451,3.6135,7,4,9,1
4/10/07,144.33,144.85,144.27,144.61,1,2.59,0.19,1.2781,1.3884,0.94,14.43,0.49,0.94,-0.05,I,0.62,14.64,97.5377,28.31,2.622,47028266853,4.064,7,4,10,2
