fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.813,0.428,0.411,2.461,0.149,3.553,-16.881,0.994,3.343,0.581,11.213,6
6.399,0.406,0.424,1.473,0.179,8.22,39.56,0.995,3.453,1.111,9.649,6
7.892,0.431,0.361,1.152,0.2,8.564,3.861,0.998,3.416,0.605,11.247,7
8.624,0.669,0.283,2.262,0.042,-0.852,17.411,0.997,3.321,0.561,10.325,6
7.23,0.53,0.067,5.241,0.144,-18.522,25.367,0.996,3.228,0.62,11.492,5
7.264,0.601,0.44,1.781,0.071,15.224,15.414,0.999,3.378,0.673,9.805,5
7.437,0.671,0.554,1.502,0.043,26.803,21.519,0.997,3.665,0.556,10.742,6
8.323,0.258,0.511,2.993,0.147,7.738,-34.22,0.993,3.33,0.359,10.139,6
9.019,0.228,0.22,3.364,0.101,8.544,-38.655,0.998,3.246,0.644,13.501,5
6.933,0.371,0.391,2.266,0.091,-5.225,59.915,0.998,2.861,0.643,12.146,6
6.377,0.432,0.03,1.332,0.078,5.745,34.866,0.998,3.133,0.8,10.917,5
7.985,0.458,0.014,4.195,0.119,13.598,106.576,0.997,3.22,0.61,11.927,5
5.448,0.839,0.33,2.082,0.074,35.024,108.66,0.998,3.507,0.658,9.182,5
8.066,0.61,0.451,3.034,0.078,15.126,11.615,0.997,3.182,0.409,12.278,5
13.91,0.705,0.488,-0.064,0.053,32.512,66.557,0.998,3.636,0.775,9.952,5
4.53,0.352,0.556,2.075,0.026,25.53,92.54,0.995,3.359,0.668,10.645,6
8.681,0.36,0.5,2.833,0.017,7.514,11.006,0.996,3.234,0.771,11.184,6
7.107,-0.199,0.506,3.64,0.051,13.46,40.466,0.996,3.112,0.99,10.541,5
9.716,0.349,0.358,3.096,0.009,6.661,52.98,0.996,3.231,0.585,10.703,6
5.702,0.588,0.21,4.468,0.071,22.905,24.356,0.995,3.497,0.632,10.246,5
8.75,0.768,0.209,3.203,0.156,27.671,55.894,0.995,3.253,0.401,10.928,6
8.606,0.652,0.175,3.706,0.024,19.572,62.193,0.996,3.325,0.582,9.577,5
7.828,0.833,0.396,3.462,0.004,22.588,56.993,1.0,3.234,0.634,10.311,6
11.122,0.641,0.24,3.193,0.034,7.383,35.111,0.997,3.28,0.66,9.315,6
9.879,0.479,0.19,3.813,0.021,8.101,19.317,0.999,3.179,0.687,11.92,6
8.508,0.476,0.422,3.946,0.055,21.939,50.674,0.998,3.173,0.887,10.605,6
9.041,0.499,0.392,-0.286,0.136,13.305,11.329,0.996,3.402,0.461,11.826,6
7.386,0.389,0.322,2.72,0.031,24.301,45.939,0.995,3.044,0.489,9.246,5
10.418,0.885,0.171,2.783,0.094,32.583,28.861,0.997,3.237,0.43,10.566,6
7.316,0.537,0.743,2.979,0.012,23.145,75.175,0.999,3.341,0.886,10.867,5
6.386,0.306,0.459,1.921,0.126,1.841,47.489,0.996,3.426,0.658,11.66,5
5.185,0.726,0.104,1.599,0.148,21.141,82.229,0.997,3.261,0.494,9.851,5
11.65,0.689,0.273,4.342,0.114,11.204,74.674,0.999,3.442,0.802,10.387,6
9.07,0.542,0.791,4.293,0.134,22.088,-6.959,0.998,3.528,0.983,11.533,5
11.63,0.647,0.363,0.194,0.18,18.213,103.981,0.999,3.397,0.885,10.898,5
8.466,0.755,0.518,2.719,0.139,19.753,3.373,0.995,3.524,0.656,11.821,5
7.555,0.484,0.536,0.432,0.088,49.45,38.218,0.999,3.025,0.601,9.236,7
8.119,0.567,0.388,2.484,0.062,11.687,30.133,0.995,3.215,0.921,10.704,7
12.608,0.544,0.138,1.461,0.05,-0.17,67.172,0.996,3.278,0.695,11.167,7
7.484,0.78,0.151,6.285,0.121,23.609,46.663,0.997,3.427,0.866,11.476,6
7.356,0.406,0.187,0.517,-0.0,5.067,-1.814,0.996,3.434,0.56,9.621,6
7.066,0.433,0.268,0.838,0.139,8.674,58.633,0.997,3.607,0.657,8.832,6
8.583,0.415,0.08,0.935,0.039,13.384,74.525,0.996,3.241,0.58,9.262,6
8.367,0.41,0.51,1.813,0.127,9.339,21.35,0.994,3.178,0.65,11.268,6
5.112,0.578,0.527,2.217,0.107,17.165,48.888,0.997,3.475,0.516,8.989,6
10.657,0.557,0.299,2.735,0.097,39.996,75.802,0.996,3.631,0.512,9.949,5
